exponent,min_runtime_old,min_runtime_new
403, 5.4870997701073065e-05,6.500002200482413e-06
404, 5.5510998208774254e-05,5.98900078330189e-06
405, 5.6000000768108293e-05,6.259997462620959e-06
406, 5.5199998314492404e-05,6.300000677583739e-06
407, 5.439999949885532e-05,6.6400025389157236e-06
408, 5.426999996416271e-05,5.840000085299835e-06
409, 5.452000186778605e-05,6.309997843345627e-06
410, 5.42800007679034e-05,6.149999535409734e-06
411, 5.5190001148730516e-05,6.790000043110922e-06
412, 5.588000203715637e-05,6.210000719875097e-06
413, 5.492000127560459e-05,6.809998012613505e-06
414, 5.533000148716383e-05,6.869999197078869e-06
415, 5.543999941437505e-05,7.209000614238903e-06
416, 5.59090003662277e-05,5.490997864399105e-06
417, 5.500000042957254e-05,5.960002454230562e-06
418, 5.7010001910384744e-05,5.99000122747384e-06
419, 5.58299980184529e-05,6.369999027810991e-06
420, 5.732999852625653e-05,6.059999577701092e-06
421, 5.7089997426373884e-05,6.390000635292381e-06
422, 5.735000013373792e-05,6.459998985519633e-06
423, 5.7460001698927954e-05,6.869999197078869e-06
424, 5.763000081060454e-05,6.040001608198509e-06
425, 5.740999768022448e-05,6.350001058308408e-06
426, 5.76899983570911e-05,6.399997801054269e-06
427, 5.8400000852998346e-05,6.910999218234792e-06
428, 5.83200016990304e-05,6.459998985519633e-06
429, 5.8850000641541556e-05,6.890000804560259e-06
430, 5.83200016990304e-05,6.869999197078869e-06
431, 5.912999768042937e-05,7.1499998739454895e-06
432, 5.889000021852553e-05,5.9300000430084765e-06
433, 5.959000191069208e-05,6.450001819757745e-06
434, 5.9850997786270455e-05,6.22899824520573e-06
435, 5.9229998441878706e-05,6.730999302817509e-06
436, 5.9679998230421916e-05,6.410002242773771e-06
437, 5.9469999541761354e-05,6.890000804560259e-06
438, 6.0450001910794526e-05,6.760001269867644e-06
439, 6.130000110715628e-05,7.099999493220821e-06
440, 6.175999806146137e-05,6.399997801054269e-06
441, 6.174000009195879e-05,6.899997970322147e-06
442, 6.052000026102178e-05,6.931000825716183e-06
443, 6.199000199558213e-05,7.480000931536779e-06
444, 6.221000148798339e-05,6.650003342656419e-06
